#{"t_start": 1769628132.3015664, "env_id": "None"}
r,l,t
-0.079621,100,66.927525
-0.092892,100,67.035025
-0.05732,100,69.842897
-0.086614,100,69.937259
-0.052779,100,70.125999
-0.075326,100,70.217061
-0.08886,100,70.318731
-0.057817,100,70.429343
-0.04183,100,70.54815
-0.071868,100,70.638614
-0.058629,100,70.734841
-0.077469,100,70.842934
-0.058277,100,70.960263
-0.077913,100,71.161145
-0.074231,100,71.251174
-0.088248,100,71.360833
-0.045002,100,71.483078
-0.059273,100,71.616991
-0.065546,100,71.741342
-0.048789,100,71.853097
-0.041529,100,71.952583
-0.087931,100,72.068021
-0.079407,100,72.273731
-0.033189,100,75.354034
-0.027773,100,75.464105
-0.065122,100,75.659523
-0.061765,100,75.804374
-0.062801,100,75.929741
-0.069408,100,76.030352
-0.049889,100,76.128822
-0.049173,100,76.229956
-0.038059,100,76.35426
-0.066747,100,76.45566
-0.04636,100,76.582029
-0.04644,100,76.7654
-0.058833,100,76.875373
-0.052975,100,77.0058
-0.057562,100,77.111452
-0.048305,100,77.238499
-0.061065,100,77.345528
-0.052196,100,77.451156
-0.05648,100,77.561798
-0.065169,100,77.664749
-0.06529,100,80.716631
-0.048726,100,80.822588
-0.04103,100,80.919314
-0.036418,100,81.020855
-0.047803,100,81.219485
-0.056948,100,81.317395
-0.048812,100,81.414921
-0.075455,100,81.511265
-0.051219,100,81.627043
-0.093131,100,81.731577
-0.037573,100,81.892475
-0.041993,100,81.986578
-0.038786,100,82.087155
-0.041443,100,82.166932
-0.063149,100,82.353607
-0.053057,100,82.465672
-0.046758,100,82.579319
-0.038571,100,82.684603
-0.027449,100,82.813216
-0.031299,100,82.925196
-0.03536,100,83.042803
-0.046914,100,86.092017
-0.04824,100,86.212819
-0.050442,100,86.323806
-0.033173,100,86.417291
-0.02681,100,86.513046
-0.028775,100,86.607759
-0.056549,100,86.807585
-0.043051,100,86.916307
-0.025687,100,87.018541
-0.036648,100,87.131833
-0.055399,100,87.254361
-0.04133,100,87.359606
-0.036735,100,87.500222
-0.035595,100,87.625685
-0.04645,100,87.75278
-0.055516,100,87.960363
-0.031215,100,88.057194
-0.059634,100,88.152539
-0.057942,100,88.254668
-0.04995,100,88.365433
-0.042012,100,91.639802
-0.035157,100,91.739204
-0.04512,100,91.845865
-0.033303,100,91.966835
-0.024808,100,92.09394
-0.029972,100,92.194407
-0.045331,100,92.389546
-0.03816,100,92.485261
-0.031539,100,92.59433
-0.04587,100,92.698715
-0.034102,100,92.804761
-0.044148,100,92.926018
-0.031665,100,93.056241
-0.029157,100,93.164544
-0.048517,100,93.274348
-0.038099,100,93.387042
-0.043678,100,93.583824
-0.039453,100,93.679317
-0.031594,100,93.775248
-0.036079,100,93.89575
-0.040911,100,93.999984
-0.038208,100,96.990203
-0.02434,100,97.087507
-0.023556,100,97.213226
-0.022512,100,97.339036
-0.036699,100,97.444999
-0.040816,100,97.56072
-0.026095,100,97.645651
-0.032932,100,97.730338
-0.032007,100,97.848061
-0.027797,100,98.044895
-0.037414,100,98.156461
-0.016857,100,98.28744
-0.040405,100,98.389659
-0.011004,100,98.492493
-0.023253,100,98.607532
-0.040893,100,98.697196
-0.036137,100,98.825198
-0.050939,100,98.9242
-0.024178,100,99.133758
-0.042656,100,99.221443
-0.025616,100,102.02437
-0.022123,100,102.137534
-0.030368,100,102.269941
-0.026175,100,102.353366
-0.010506,100,102.527181
-0.027577,100,102.639268
-0.023262,100,102.748332
-0.033043,100,102.864061
-0.024514,100,102.967941
-0.025728,100,103.053949
-0.020591,100,103.152844
-0.038136,100,103.268299
-0.024242,100,103.364563
-0.025351,100,103.441263
-0.040895,100,103.627352
-0.019345,100,103.72628
-0.022196,100,103.856597
-0.011844,100,103.974232
-0.023226,100,104.06669
-0.018421,100,104.158267
-0.027124,100,104.259743
-0.013258,100,107.289066
-0.026529,100,107.398645
-0.014692,100,107.493029
-0.024488,100,107.599688
-0.025629,100,107.689331
-0.022806,100,107.834148
-0.010189,100,108.011827
-0.01882,100,108.144121
-0.022688,100,108.295597
-0.021024,100,108.405843
-0.02542,100,108.505447
-0.013691,100,108.614101
-0.011339,100,108.758997
-0.019651,100,108.888821
-0.021835,100,109.081675
-0.011926,100,109.210422
-0.014901,100,109.334007
-0.011486,100,109.4416
-0.013668,100,109.588268
-0.023598,100,109.701171
-0.017962,100,112.754013
-0.026109,100,112.871581
-0.013626,100,112.974908
-0.013507,100,113.100505
-0.018999,100,113.241214
-0.01279,100,113.337332
-0.022579,100,113.523182
-0.028076,100,113.627504
-0.012815,100,113.733163
-0.031049,100,113.827127
-0.01246,100,113.956233
-0.022287,100,114.065757
-0.019717,100,114.196027
-0.022472,100,114.295971
-0.022011,100,114.398052
-0.019008,100,114.593184
-0.012019,100,114.716323
-0.017731,100,114.845619
-0.015439,100,114.945782
-0.007378,100,115.047333
-0.024147,100,115.165516
-0.018549,100,118.262885
-0.020104,100,118.377125
-0.003152,100,118.504965
-0.006858,100,118.625608
-0.008317,100,118.751831
-0.003631,100,118.850051
-0.031032,100,119.030445
-0.020556,100,119.141116
-0.01044,100,119.252058
-0.009444,100,119.374672
-0.000635,100,119.459844
-0.014015,100,119.604705
-0.013138,100,119.713311
-0.028013,100,119.831014
-0.011724,100,119.924716
-0.013198,100,120.103586
-0.008128,100,120.226952
-0.013291,100,120.324399
-0.00645,100,120.425997
-0.018468,100,120.524451
-0.01625,100,123.469699
-0.015125,100,123.587147
-0.010106,100,123.70061
-0.009344,100,123.820817
-0.01128,100,123.940155
-0.007366,100,124.060273
-0.020202,100,124.157159
-0.016475,100,124.300314
-0.008642,100,124.536604
-0.021947,100,124.623822
-0.015838,100,124.764922
-0.009788,100,124.898057
-0.007645,100,125.052783
-0.002258,100,125.214798
-0.016002,100,125.333873
-0.017428,100,125.487446
-0.020673,100,125.693315
-0.003647,100,125.837816
-0.01192,100,125.99385
-0.020986,100,126.148941
-0.010641,100,126.29363
-0.015209,100,129.584035
-0.012543,100,129.700441
-0.015205,100,129.839279
-0.002298,100,129.990352
-0.007547,100,130.19996
-0.013715,100,130.320207
-0.014173,100,130.470641
-0.012156,100,130.609294
-0.017025,100,130.761966
-0.006067,100,130.903553
-0.004288,100,131.053918
-0.00374,100,131.285989
-0.003869,100,131.409613
-0.012475,100,131.566605
-0.006219,100,131.725554
-0.015714,100,131.881911
-0.007037,100,132.039262
-0.005209,100,132.184081
-0.013343,100,133.502761
-0.016034,100,133.586024
-0.010866,100,136.535713
-0.004906,100,136.7372
-0.013088,100,136.845216
-0.013387,100,136.961329
-0.007777,100,137.070106
-0.009987,100,137.181932
-0.006541,100,137.283172
-0.006814,100,137.400852
-0.000304,100,137.532933
-0.001838,100,137.644549
-0.002967,100,137.745518
-0.002859,100,137.902845
-0.009379,100,138.042624
-0.009133,100,138.163453
-0.002625,100,138.278906
-0.013476,100,138.380927
-0.009042,100,138.536909
-0.005754,100,138.658538
-0.007468,100,138.764852
-0.002172,100,138.953301
-0.005564,100,139.042549
